stock,fmp,area,recommendation_year,report_year,source_file,page,ofl,abc,units,table,page_url
Shortraker rockfish,GOA,C,2024,2023,SSC Dec 2023.pdf,11,,6979,metric tons,Table 2. SSC recommended OFLs and ABCs for Groundfish in the Gulf of Alaska (metric tons) for 2024,pdfs/SSC%20Dec%202023.pdf#page=11
Dusky rockfish,GOA,WYAK,2024,2023,SSC Dec 2023.pdf,11,,81,metric tons,Table 2. SSC recommended OFLs and ABCs for Groundfish in the Gulf of Alaska (metric tons) for 2024,pdfs/SSC%20Dec%202023.pdf#page=11
Dusky rockfish,GOA,EYAK/SEO,2024,2023,SSC Dec 2023.pdf,11,,28,metric tons,Table 2. SSC recommended OFLs and ABCs for Groundfish in the Gulf of Alaska (metric tons) for 2024,pdfs/SSC%20Dec%202023.pdf#page=11
Dusky rockfish,GOA,Total,2024,2023,SSC Dec 2023.pdf,11,8796,7225,metric tons,Table 2. SSC recommended OFLs and ABCs for Groundfish in the Gulf of Alaska (metric tons) for 2024,pdfs/SSC%20Dec%202023.pdf#page=11
Dusky rockfish,GOA,W,2024,2023,SSC Dec 2023.pdf,11,,197,metric tons,Table 2. SSC recommended OFLs and ABCs for Groundfish in the Gulf of Alaska (metric tons) for 2024,pdfs/SSC%20Dec%202023.pdf#page=11
Rougheye and Blackspotted,GOA,C,2024,2023,SSC Dec 2023.pdf,11,,315,metric tons,Table 2. SSC recommended OFLs and ABCs for Groundfish in the Gulf of Alaska (metric tons) for 2024,pdfs/SSC%20Dec%202023.pdf#page=11
Rockfish,GOA,E,2024,2023,SSC Dec 2023.pdf,11,,525,metric tons,Table 2. SSC recommended OFLs and ABCs for Groundfish in the Gulf of Alaska (metric tons) for 2024,pdfs/SSC%20Dec%202023.pdf#page=11
Rockfish,GOA,Total,2024,2023,SSC Dec 2023.pdf,11,1566,1037,metric tons,Table 2. SSC recommended OFLs and ABCs for Groundfish in the Gulf of Alaska (metric tons) for 2024,pdfs/SSC%20Dec%202023.pdf#page=11
Demersal shelf rockfish,GOA,Total,2024,2023,SSC Dec 2023.pdf,11,376,283,metric tons,Table 2. SSC recommended OFLs and ABCs for Groundfish in the Gulf of Alaska (metric tons) for 2024,pdfs/SSC%20Dec%202023.pdf#page=11
Demersal shelf rockfish,GOA,W,2024,2023,SSC Dec 2023.pdf,11,,314,metric tons,Table 2. SSC recommended OFLs and ABCs for Groundfish in the Gulf of Alaska (metric tons) for 2024,pdfs/SSC%20Dec%202023.pdf#page=11
Demersal shelf rockfish,GOA,C,2024,2023,SSC Dec 2023.pdf,11,,693,metric tons,Table 2. SSC recommended OFLs and ABCs for Groundfish in the Gulf of Alaska (metric tons) for 2024,pdfs/SSC%20Dec%202023.pdf#page=11
Thornyhead rockfish,GOA,E,2024,2023,SSC Dec 2023.pdf,11,,621,metric tons,Table 2. SSC recommended OFLs and ABCs for Groundfish in the Gulf of Alaska (metric tons) for 2024,pdfs/SSC%20Dec%202023.pdf#page=11
Thornyhead rockfish,GOA,Total,2024,2023,SSC Dec 2023.pdf,11,2170,1628,metric tons,Table 2. SSC recommended OFLs and ABCs for Groundfish in the Gulf of Alaska (metric tons) for 2024,pdfs/SSC%20Dec%202023.pdf#page=11
W/C (+ WYAK for 2024 and 2025 only),GOA,EYAK/SEO,2024,2023,SSC Dec 2023.pdf,11,,2421,metric tons,Table 2. SSC recommended OFLs and ABCs for Groundfish in the Gulf of Alaska (metric tons) for 2024,pdfs/SSC%20Dec%202023.pdf#page=11
W/C (+ WYAK for 2024 and 2025 only),GOA,Total,2024,2023,SSC Dec 2023.pdf,11,4977,3774,metric tons,Table 2. SSC recommended OFLs and ABCs for Groundfish in the Gulf of Alaska (metric tons) for 2024,pdfs/SSC%20Dec%202023.pdf#page=11
Atka mackerel,GOA,Total,2024,2023,SSC Dec 2023.pdf,11,6200,4700,metric tons,Table 2. SSC recommended OFLs and ABCs for Groundfish in the Gulf of Alaska (metric tons) for 2024,pdfs/SSC%20Dec%202023.pdf#page=11
Big Skate,GOA,E,2024,2023,SSC Dec 2023.pdf,12,,341,metric tons,Table 2. Cont. SSC recommended OFLs and ABCs for Groundfish in the Gulf of Alaska (metric tons) for,pdfs/SSC%20Dec%202023.pdf#page=12
Big Skate,GOA,E,2025,2023,SSC Dec 2023.pdf,12,,341,metric tons,Table 2. Cont. SSC recommended OFLs and ABCs for Groundfish in the Gulf of Alaska (metric tons) for,pdfs/SSC%20Dec%202023.pdf#page=12
Big Skate,GOA,Total,2024,2023,SSC Dec 2023.pdf,12,3780,2835,metric tons,Table 2. Cont. SSC recommended OFLs and ABCs for Groundfish in the Gulf of Alaska (metric tons) for,pdfs/SSC%20Dec%202023.pdf#page=12
Big Skate,GOA,Total,2025,2023,SSC Dec 2023.pdf,12,3780,2835,metric tons,Table 2. Cont. SSC recommended OFLs and ABCs for Groundfish in the Gulf of Alaska (metric tons) for,pdfs/SSC%20Dec%202023.pdf#page=12
Big Skate,GOA,W,2024,2023,SSC Dec 2023.pdf,12,,104,metric tons,Table 2. Cont. SSC recommended OFLs and ABCs for Groundfish in the Gulf of Alaska (metric tons) for,pdfs/SSC%20Dec%202023.pdf#page=12
Big Skate,GOA,W,2025,2023,SSC Dec 2023.pdf,12,,104,metric tons,Table 2. Cont. SSC recommended OFLs and ABCs for Groundfish in the Gulf of Alaska (metric tons) for,pdfs/SSC%20Dec%202023.pdf#page=12
Big Skate,GOA,C,2024,2023,SSC Dec 2023.pdf,12,,1894,metric tons,Table 2. Cont. SSC recommended OFLs and ABCs for Groundfish in the Gulf of Alaska (metric tons) for,pdfs/SSC%20Dec%202023.pdf#page=12
Big Skate,GOA,C,2025,2023,SSC Dec 2023.pdf,12,,1894,metric tons,Table 2. Cont. SSC recommended OFLs and ABCs for Groundfish in the Gulf of Alaska (metric tons) for,pdfs/SSC%20Dec%202023.pdf#page=12
Longnose Skate,GOA,E,2024,2023,SSC Dec 2023.pdf,12,,538,metric tons,Table 2. Cont. SSC recommended OFLs and ABCs for Groundfish in the Gulf of Alaska (metric tons) for,pdfs/SSC%20Dec%202023.pdf#page=12
Longnose Skate,GOA,E,2025,2023,SSC Dec 2023.pdf,12,,538,metric tons,Table 2. Cont. SSC recommended OFLs and ABCs for Groundfish in the Gulf of Alaska (metric tons) for,pdfs/SSC%20Dec%202023.pdf#page=12
Longnose Skate,GOA,Total,2024,2023,SSC Dec 2023.pdf,12,3380,2536,metric tons,Table 2. Cont. SSC recommended OFLs and ABCs for Groundfish in the Gulf of Alaska (metric tons) for,pdfs/SSC%20Dec%202023.pdf#page=12
Longnose Skate,GOA,Total,2025,2023,SSC Dec 2023.pdf,12,3380,2536,metric tons,Table 2. Cont. SSC recommended OFLs and ABCs for Groundfish in the Gulf of Alaska (metric tons) for,pdfs/SSC%20Dec%202023.pdf#page=12
Pollock,BSAI,AI,2025,2024,SSC Dec 2024.pdf,7,55728,46051,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Pollock,BSAI,AI,2026,2024,SSC Dec 2024.pdf,7,56231,46437,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Pollock,BSAI,Bogoslof,2025,2024,SSC Dec 2024.pdf,7,77354,58015,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Pollock,BSAI,Bogoslof,2026,2024,SSC Dec 2024.pdf,7,77354,58015,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Pollock,BSAI,BS,2025,2024,SSC Dec 2024.pdf,7,183509,153617,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Pollock,BSAI,BS,2026,2024,SSC Dec 2024.pdf,7,169243,141520,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Pacific cod,BSAI,AI,2025,2024,SSC Dec 2024.pdf,7,16782,13376,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Pacific cod,BSAI,AI,2026,2024,SSC Dec 2024.pdf,7,16273,12973,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Pacific cod,BSAI,BSAI/GOA,2025,2024,SSC Dec 2024.pdf,7,58532,47605,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Pacific cod,BSAI,BSAI/GOA,2026,2024,SSC Dec 2024.pdf,7,57797,47008,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Pacific cod,BSAI,BS,2025,2024,SSC Dec 2024.pdf,7,,13203,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Pacific cod,BSAI,BS,2026,2024,SSC Dec 2024.pdf,7,,13037,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Sablefish,BSAI,AI,2025,2024,SSC Dec 2024.pdf,7,,11566,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Sablefish,BSAI,AI,2026,2024,SSC Dec 2024.pdf,7,,11421,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Yellowfin sole,BSAI,BSAI,2025,2024,SSC Dec 2024.pdf,7,299247,262557,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Yellowfin sole,BSAI,BSAI,2026,2024,SSC Dec 2024.pdf,7,305039,267639,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Yellowfin sole,BSAI,BSAI,2025,2024,SSC Dec 2024.pdf,7,2598,1678,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Yellowfin sole,BSAI,BSAI,2026,2024,SSC Dec 2024.pdf,7,2059,1328,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Greenland turbot,BSAI,BS,2025,2024,SSC Dec 2024.pdf,7,,1415,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Greenland turbot,BSAI,BS,2026,2024,SSC Dec 2024.pdf,7,,1120,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Greenland turbot,BSAI,AI,2025,2024,SSC Dec 2024.pdf,7,,263,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Greenland turbot,BSAI,AI,2026,2024,SSC Dec 2024.pdf,7,,208,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Arrowtooth flounder,BSAI,BSAI,2025,2024,SSC Dec 2024.pdf,7,104428,88683,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Arrowtooth flounder,BSAI,BSAI,2026,2024,SSC Dec 2024.pdf,7,102472,87035,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Kamchatka flounder,BSAI,BSAI,2025,2024,SSC Dec 2024.pdf,7,8019,6800,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Kamchatka flounder,BSAI,BSAI,2026,2024,SSC Dec 2024.pdf,7,7790,6606,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Northern rock sole,BSAI,BSAI,2025,2024,SSC Dec 2024.pdf,7,165444,157487,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Northern rock sole,BSAI,BSAI,2026,2024,SSC Dec 2024.pdf,7,166220,158225,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Flathead sole,BSAI,BSAI,2025,2024,SSC Dec 2024.pdf,7,101621,83807,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Flathead sole,BSAI,BSAI,2026,2024,SSC Dec 2024.pdf,7,106283,87700,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Alaska plaice,BSAI,BSAI,2025,2024,SSC Dec 2024.pdf,7,34576,28745,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Alaska plaice,BSAI,BSAI,2026,2024,SSC Dec 2024.pdf,7,33965,28230,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Other flatfish,BSAI,BSAI,2025,2024,SSC Dec 2024.pdf,7,26083,19562,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Other flatfish,BSAI,BSAI,2026,2024,SSC Dec 2024.pdf,7,26083,19562,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Other flatfish,BSAI,BSAI,2025,2024,SSC Dec 2024.pdf,7,44594,37375,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Other flatfish,BSAI,BSAI,2026,2024,SSC Dec 2024.pdf,7,43084,36578,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Other flatfish,BSAI,BS,2025,2024,SSC Dec 2024.pdf,7,,10121,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Other flatfish,BSAI,BS,2026,2024,SSC Dec 2024.pdf,7,,9905,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Pacific ocean perch,BSAI,EAI,2025,2024,SSC Dec 2024.pdf,7,,6278,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Pacific ocean perch,BSAI,EAI,2026,2024,SSC Dec 2024.pdf,7,,6144,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Pacific ocean perch,BSAI,CAI,2025,2024,SSC Dec 2024.pdf,7,,5559,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Pacific ocean perch,BSAI,CAI,2026,2024,SSC Dec 2024.pdf,7,,5441,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Pacific ocean perch,BSAI,WAI,2025,2024,SSC Dec 2024.pdf,7,,15417,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Pacific ocean perch,BSAI,WAI,2026,2024,SSC Dec 2024.pdf,7,,16058,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Northern rockfish,BSAI,BSAI,2025,2024,SSC Dec 2024.pdf,7,22848,18694,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Northern rockfish,BSAI,BSAI,2026,2024,SSC Dec 2024.pdf,7,22284,18232,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Northern rockfish,BSAI,BSAI,2025,2024,SSC Dec 2024.pdf,7,838,706,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Northern rockfish,BSAI,BSAI,2026,2024,SSC Dec 2024.pdf,7,902,766,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Blackspotted/Rougheye rockfish,BSAI,BS/EAI,2025,2024,SSC Dec 2024.pdf,7,,408,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Blackspotted/Rougheye rockfish,BSAI,BS/EAI,2026,2024,SSC Dec 2024.pdf,7,,441,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Blackspotted/Rougheye rockfish Rockfish,BSAI,CAI/WAI,2025,2024,SSC Dec 2024.pdf,7,,298,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Blackspotted/Rougheye rockfish Rockfish,BSAI,CAI/WAI,2026,2024,SSC Dec 2024.pdf,7,,325,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Shortraker rockfish,BSAI,BSAI,2025,2024,SSC Dec 2024.pdf,7,631,473,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Shortraker rockfish,BSAI,BSAI,2026,2024,SSC Dec 2024.pdf,7,631,473,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Shortraker rockfish,BSAI,BSAI,2025,2024,SSC Dec 2024.pdf,7,1406,1054,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Shortraker rockfish,BSAI,BSAI,2026,2024,SSC Dec 2024.pdf,7,1406,1054,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Other rockfish,BSAI,BS,2025,2024,SSC Dec 2024.pdf,7,,639,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Other rockfish,BSAI,BS,2026,2024,SSC Dec 2024.pdf,7,,639,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Other rockfish,BSAI,AI,2025,2024,SSC Dec 2024.pdf,7,,415,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Other rockfish,BSAI,AI,2026,2024,SSC Dec 2024.pdf,7,,415,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Other rockfish,BSAI,BSAI,2025,2024,SSC Dec 2024.pdf,7,122622,103247,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Other rockfish,BSAI,BSAI,2026,2024,SSC Dec 2024.pdf,7,107889,92361,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Other rockfish,BSAI,BS/EAI,2025,2024,SSC Dec 2024.pdf,7,,46650,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Other rockfish,BSAI,BS/EAI,2026,2024,SSC Dec 2024.pdf,7,,41731,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Atka mackerel,BSAI,CAI,2025,2024,SSC Dec 2024.pdf,7,,26511,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Atka mackerel,BSAI,CAI,2026,2024,SSC Dec 2024.pdf,7,,23716,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Atka mackerel,BSAI,WAI,2025,2024,SSC Dec 2024.pdf,7,,30087,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Atka mackerel,BSAI,WAI,2026,2024,SSC Dec 2024.pdf,7,,26914,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Skates,BSAI,BSAI,2025,2024,SSC Dec 2024.pdf,7,44086,36523,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Skates,BSAI,BSAI,2026,2024,SSC Dec 2024.pdf,7,43285,35833,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Sharks,BSAI,BSAI,2025,2024,SSC Dec 2024.pdf,7,689,450,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Sharks,BSAI,BSAI,2026,2024,SSC Dec 2024.pdf,7,689,450,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Octopuses,BSAI,BSAI,2025,2024,SSC Dec 2024.pdf,7,6080,4560,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
Octopuses,BSAI,BSAI,2026,2024,SSC Dec 2024.pdf,7,6080,4560,metric tons,Table 1. SSC recommended proposed OFL and ABC for Groundfish in the Bering Sea and Aleutian Islands,pdfs/SSC%20Dec%202024.pdf#page=7
